Country or Area,Puerto Rico,Angola,Hungary,Bangladesh,Iraq,Viet Nam,Romania,New Zealand,Ukraine,Kuwait,Qatar,Czech Republic,Kazakhstan,Peru,Algeria,Ireland,Portugal,Pakistan,Israel,Finland,Greece,Philippines,Egypt,Nigeria,Chile,Singapore,Malaysia,Denmark,Colombia,Venezuela (Bolivarian Republic of),United Arab Emirates,South Africa,Thailand,Austria,Argentina,Belgium,Poland,Norway,Sweden,"Iran, Islamic Republic of",Switzerland,Saudi Arabia,Netherlands,Turkey,Indonesia,Republic of Korea,Mexico,Spain,Australia,Canada,India,Italy,Russian Federation,Brazil,United Kingdom of Great Britain and Northern Ireland,France,Germany,Japan,"China, People's Republic of",United States
Year,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
Item,Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP),Gross Domestic Product (GDP)
Value,1.04E+11,1.16E+11,1.25E+11,1.27E+11,1.49E+11,1.56E+11,1.69E+11,1.71E+11,1.76E+11,1.83E+11,1.92E+11,1.96E+11,2.03E+11,2.05E+11,2.07E+11,2.11E+11,2.12E+11,2.15E+11,2.41E+11,2.47E+11,2.49E+11,2.50E+11,2.55E+11,2.63E+11,2.68E+11,2.77E+11,3.05E+11,3.15E+11,3.70E+11,3.82E+11,3.84E+11,3.84E+11,3.86E+11,3.94E+11,4.77E+11,4.83E+11,4.90E+11,5.00E+11,5.24E+11,5.52E+11,6.31E+11,7.11E+11,7.70E+11,7.88E+11,8.78E+11,1.13E+12,1.18E+12,1.32E+12,1.56E+12,1.82E+12,1.88E+12,2.01E+12,2.03E+12,2.25E+12,2.47E+12,2.61E+12,3.43E+12,5.96E+12,8.36E+12,1.62E+13
Value $millions,103.52,116.31,124.6,127.19,149.37,155.82,169.4,171.26,176.31,183.22,192.4,196.45,202.66,204.68,207.02,210.64,212.14,215.12,241.07,247.39,248.94,250.18,254.67,262.55,268.31,276.52,304.73,314.89,369.81,382.42,383.8,384.31,385.69,394.46,477.03,483.4,489.85,499.67,523.8,551.59,631.18,711.05,770.07,788.3,878.04,1129.6,1183.66,1322.13,1564.42,1821.45,1875.21,2013.39,2029.81,2254.11,2471.6,2611.22,3425.96,5960.18,8358.4,16244.6
