Time	A	B	C	D	E	F	G	H	I	J
11/15/1988	0.010477605	0.030592734	0.045484728	0.04921849	0.332723149	0.113077292	0.150090756	0.418079096	0	0.788128453
12/15/1988	0.011375244	0.019757808	0.041168659	0.041902228	0.332723149	0.113077292	0.150090756	0.194915254	0	0.792821681
1/15/1989	0.010508559	0.021032505	0.039508632	0.038244097	0.397216306	0.145210946	0.188643272	0.274011299	0	0.806075847
2/15/1989	0.010028786	0.019120459	0.040836653	0.039906884	0.397216306	0.145210946	0.188643272	0.098870056	0	0.823713787
3/15/1989	0.009812115	0.023581899	0.050796813	0.048885933	0.397216306	0.145210946	0.188643272	0.31920904	0.004615892	0.841791998
4/15/1989	0.010988331	0.029318037	0.091965471	0.096109079	0.397216306	0.145210946	0.188643272	0.47740113	0.00098912	0.854159997
5/15/1989	0.014052682	0.054174634	0.103253652	0.102427669	0.397216306	0.145210946	0.188643272	0.655367232	0.1256182	0.856341025
6/15/1989	0.01179311	0.095602294	0.099601594	0.09843698	0.397216306	0.145210946	0.188643272	0.805084746	0.311242994	0.84810829
7/15/1989	0.011266908	0.117272148	0.093293493	0.090123046	0.397216306	0.145210946	0.188643272	0.926553672	0.654137817	0.828921782
8/15/1989	0.012969326	0.126832377	0.077357238	0.073162621	0.397216306	0.145210946	0.188643272	0.875706215	0.501813386	0.801869057
9/15/1989	0.012969326	0.109623964	0.072377158	0.072830063	0.397216306	0.145210946	0.188643272	0.709039548	0.136828223	0.770856863
10/15/1989	0.013665769	0.062460166	0.071049137	0.073162621	0.397216306	0.145210946	0.188643272	0.564971751	0.040553907	0.738037215
11/15/1989	0.012907419	0.030592734	0.064077025	0.065846358	0.397216306	0.145210946	0.188643272	0.327683616	0	0.711521829
12/15/1989	0.009765685	0.01402167	0.06374502	0.064183572	0.397216306	0.145210946	0.188643272	0.019774011	0	0.691406031
1/15/1990	0.009332343	0.022307202	0.081673307	0.085134686	0.451195669	0.182065157	0.227662167	0.274011299	0	0.681268049
2/15/1990	0.009363296	0.036328872	0.075697211	0.074160293	0.451195669	0.182065157	0.227662167	0.231638418	0	0.676490987
3/15/1990	0.011560962	0.033142129	0.071049137	0.062188227	0.451195669	0.182065157	0.227662167	0.401129944	0.019452687	0.677597429
4/15/1990	0.011251432	0.035691523	0.079681275	0.083804456	0.451195669	0.182065157	0.227662167	0.514124294	0.09495549	0.678689186
5/15/1990	0.011947875	0.058636074	0.086985392	0.091453276	0.451195669	0.182065157	0.227662167	0.63559322	0.022749753	0.674492903
6/15/1990	0.013185997	0.094327597	0.091301461	0.090123046	0.451195669	0.182065157	0.227662167	0.827683616	0.451038576	0.663750716
7/15/1990	0.012210976	0.124920331	0.089309429	0.081476555	0.451195669	0.182065157	0.227662167	0.889830508	0.530497857	0.650829784
8/15/1990	0.010493082	0.127469726	0.132802125	0.134020619	0.451195669	0.182065157	0.227662167	0.88700565	0.514012529	0.636029945
9/15/1990	0.007676355	0.115997451	0.160690571	0.156967077	0.451195669	0.182065157	0.227662167	0.790960452	0.329047148	0.623643253
10/15/1990	0.008295416	0.067558955	0.18061089	0.176587961	0.451195669	0.182065157	0.227662167	0.550847458	0.046488625	0.610423058
