Country,Population,Meth EM,Elec Acc,CO2 em
Slovak Republic,60114,4014.6,0,6.647076048
Slovenia,22868,2912.5,0,7.482274333
Small states,323794,28904.7,0,3.53375848
Solomon Islands,6107,0,0,0.383105992
Somalia,113279,0,0,0.063170514
South Africa,568770,67187.3,75.8,9.204084691
South Sudan,120417,0,0,0
Spain,513533,36476.4,0,5.853465667
Sri Lanka,225867,11353.2,76.6,0.615398344
St. Kitts and Nevis,595,0,0,4.763065403
St. Lucia,2010,0,0,2.273826502
St. Martin (French part),344,0,0,0
St. Vincent and the Grenadines,1215,0,0,1.912062278
Sudan,413282,100992.6,35.9,0.310858607
Suriname,5939,0,0,4.540441176
Swaziland,13678,0,0,0.857473675
Sweden,105740,11390.1,0,5.599744235
Switzerland,88857,4946.1,0,4.952967888
Syrian Arab Republic,248881,12503.8,92.7,2.872783035
Tajikistan,88989,4507.7,0,0.375001672
Tanzania,530923,25359.6,14.8,0.152229977
Thailand,742056,97443.8,87.7,4.446855558
Timor-Leste,13447,0,38,0.16048112
Togo,73810,5866,27.9,0.244233521
Tonga,1166,0,0,1.514736114
Trinidad and Tobago,14860,13508.6,99,38.16113079
Tunisia,119750,6949.3,99.5,2.453102066
Turkey,822190,75651.5,0,4.131030767
Turkmenistan,57477,32847.9,0,10.52245312
Turks and Caicos Islands,360,0,0,5.205949731
Tuvalu,110,0,0,0
Uganda,403843,0,8.5,0.111346111
Ukraine,506592,68265.2,0,6.644867137
United Arab Emirates,102285,23939.1,100,19.85379771
United Kingdom,702528,60813.5,0,7.925092856
United States,3487934,545325,99.8,17.56416397
Uruguay,37725,20571.4,98.8,1.970533651
Uzbekistan,330854,46338.7,0,3.6566778
Vanuatu,2747,0,0,0.496591183
Vietnam,986394,106432.8,97.6,1.728118437
Virgin Islands (U.S.),1170,0,0,0
West Bank and Gaza,44966,0,0,0.620611834
Zambia,156390,6121.2,18.5,0.183669271
Zimbabwe,152492,8455,36.9,0.720950743
